Year,opioids,stem cell, Neuropeptide
1976,509.7419529390545,192.52561453313518,1648.8191631605569
1977,494.2150903391627,190.66940213702264,1670.6453015245925
1978,501.4507958284576,232.20069770257035,1743.1559486297224
1979,536.5369622226947,272.16670210503935,1773.336168403147
1980,589.6079374409946,325.62033523931666,1982.2226972336523
1981,626.7338284695076,345.4438424635081,1972.2023454931916
1982,734.2104195681275,413.41590383601283,2096.82653433752
1983,719.9821700243224,427.01499720599116,2120.5396797710528
1984,751.456890187393,532.1772458099681,2334.165842011844
1985,757.51026260952,580.4299414800219,2357.791683187207
1986,781.5492627594921,518.2695001400729,2406.9659079864387
1987,705.0538367698481,495.03201949698007,2225.470511361012
1988,671.1357383655597,496.24778806783684,2203.0198524948014
1989,671.3774779537506,560.4326599702658,2199.536861229626
1990,714.6541823207647,583.9870744194195,2258.3266823694303
1991,684.5204969004216,619.4317681389463,2168.0111884863118
1992,675.6724435664024,663.2352870830563,2246.1026256750743
1993,673.1479662935009,755.917810012813,2160.900835180457
1994,663.0075938292448,787.4069567951444,2033.6789630652368
1995,660.7954026979326,882.6926800606268,1940.9891232498046
1996,666.0738260884727,957.2631689072554,1815.356314623982
1997,676.5541484085327,984.95427623371,1801.5908105954816
1998,666.4546256879922,1019.9030649751132,1757.3422699478251
1999,634.7014676079549,1079.7010930632293,1602.4440561776598
2000,647.9084254379625,1126.0952581213846,1508.5320771932857
2001,594.3848436430038,1226.3866697101118,1432.1844327779045
2002,574.7512653370164,1361.895229033958,1384.354740017897
2003,618.9201189403011,1440.166570240706,1335.0510609098126
2004,590.2148751029672,1525.2427837009411,1210.7532898695931
2005,577.2209729806902,1628.011564407324,1137.4522611271727
2006,558.7195443856084,1713.3532771280934,1081.3109578887309
2007,548.4727924446761,1852.0966532355444,1016.1046356437406
2008,549.1985380186809,1948.9500967487638,965.218222211605
2009,526.5346816692779,2007.1214926648627,890.4714428144139
2010,520.7493015633094,2188.6118729991595,853.1966746771056
2011,499.2376704463057,2228.4911362041867,751.943058489686
2012,509.8062240945595,2327.567700468431,694.6648783235568
2013,509.2041077189291,2420.458596732259,671.3737902489501
2014,509.33448122280083,2428.151159791356,620.4740683972925
2015,504.2161117003261,2512.176079707806,580.0631899977261
2016,519.3838989434888,2560.0318758832796,547.0107020787807
2017,570.1796430146284,2599.513027473686,529.381314825821
2018,626.998441936615,2519.387013771031,478.59031514902216
2019,698.7146021757228,2520.353308029856,432.4637026794407
2020,684.9457194401791,2384.4020594144486,396.75952259472547
2021,657.8759076448401,2333.458851469769,338.45002124081134
2022,646.4645324741643,2127.9669122107143,339.4545367342736
